iter	Passed	Remaining
759	5136	8381
760	5143	8373
761	5148	8364
762	5153	8355
763	5159	8346
764	5166	8340
765	5171	8331
766	5178	8324
767	5184	8316
768	5189	8307
769	5196	8300
770	5201	8291
771	5206	8281
772	5212	8274
773	5218	8266
774	5224	8257
775	5229	8248
776	5234	8239
777	5240	8230
778	5246	8222
779	5250	8212
780	5256	8203
781	5261	8195
782	5267	8186
783	5272	8177
784	5277	8168
785	5283	8160
786	5288	8151
787	5294	8144
788	5300	8135
789	5306	8127
790	5312	8119
791	5317	8110
792	5322	8101
793	5328	8092
794	5333	8083
795	5338	8074
796	5344	8067
797	5350	8059
798	5356	8051
799	5361	8042
800	5366	8033
801	5372	8025
802	5378	8017
803	5383	8008
804	5389	8000
805	5394	7991
806	5399	7982
807	5404	7973
808	5410	7964
809	5415	7955
810	5420	7946
811	5425	7937
812	5430	7928
813	5435	7919
814	5441	7912
815	5446	7903
816	5453	7895
817	5458	7888
818	5464	7879
819	5469	7870
820	5474	7862
821	5480	7853
822	5485	7844
823	5491	7837
824	5496	7828
825	5502	7820
826	5508	7812
827	5513	7803
828	5518	7795
829	5523	7786
830	5528	7777
831	5533	7768
832	5540	7761
833	5545	7752
834	5550	7744
835	5557	7737
836	5562	7729
837	5567	7720
838	5573	7712
839	5578	7703
840	5583	7694
841	5589	7687
842	5594	7678
843	5599	7670
844	5606	7662
845	5611	7654
846	5617	7646
847	5622	7638
848	5627	7629
849	5632	7620
850	5638	7613
851	5643	7604
852	5649	7596
853	5655	7588
854	5660	7580
855	5665	7571
856	5671	7563
857	5676	7554
858	5681	7546
859	5688	7540
860	5693	7532
861	5699	7524
862	5705	7517
863	5710	7508
864	5716	7500
865	5721	7492
866	5726	7483
867	5731	7474
868	5737	7466
869	5742	7458
870	5747	7450
871	5753	7442
872	5758	7433
873	5763	7425
874	5769	7417
875	5774	7409
876	5779	7401
877	5786	7394
878	5791	7386
879	5797	7378
880	5802	7370
881	5808	7362
882	5813	7354
883	5818	7345
884	5823	7336
885	5828	7328
886	5834	7321
887	5839	7312
888	5844	7304
889	5851	7297
890	5856	7289
891	5861	7280
892	5867	7273
